Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Jameel's Space Ride,Thundercat,Drunk,0.629,0.0895,140.091,0.0441,0.799,0.0267,4,0.85,1,69234,-9.676,0.861,3K0GqAWl4JiOAFNzYRoJ1h,1
We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,0.805,0.141,92.601,0.0637,0.00909,0,4,0.71,1,172013,-5.471,0.897,3wUX7HpXS382s1DHTRouVk,1
Milk N' Honey,Anderson .Paak,Venice,0.746,0.144,78.776,0.317,0.0227,0,4,0.623,7,258273,-5.174,0.507,72TpOdSgTcuE8IJ0xXz8T6,1
By Design,Kid Cudi,"Passion, Pain & Demon Slayin'",0.853,0.115,100.004,0.0525,0.0599,0.000562,4,0.756,9,257053,-5.92,0.419,5FxVTEpoBress37MmlMhbZ,0
Zombies,Childish Gambino,"""Awaken, My Love!""",0.413,0.067,159.891,0.142,0.506,0.00197,4,0.643,0,281813,-12.081,0.457,73kAUSAht4YOR7xNPmNb2L,1
DEVASTATED,Joey Bada$$,ALL-AMERIKKKAN BADA$$,0.628,0.254,123.004,0.0682,0.0634,0,4,0.812,10,207059,-6.164,0.485,4ntsD33Pgsgk8rUyZLLiUV,0
Brown Skin Lady,Black Star,Mos Def & Talib Kweli Are Black Star,0.558,0.36,175.594,0.622,0.582,7.52e-05,4,0.566,1,346667,-9.141,0.853,3Mz4AoWIedMfzCib1LYwMZ,1
Never Catch Me (feat. Kendrick Lamar),Flying Lotus,You're Dead!,0.936,0.261,81.305,0.263,0.316,0.000384,4,0.526,8,234487,-4.576,0.283,6CTG85NJI1Wm60pxTSRNwL,1
Mask Off,Future,FUTURE,0.434,0.165,150.062,0.431,0.0102,0.0219,4,0.833,2,204600,-8.795,0.281,3rOSwuTsUlJp0Pu0MkN8r8,1
Street Knowledge (feat. Tree),Ghostface Killah,SOUR SOUL,0.511,0.162,82.861,0.317,0.183,1.96e-05,4,0.576,9,204902,-7.555,0.0759,0XZuJoI7RvGFs3aJW8xtpf,0
Drug Dealers Anonymous,Pusha T,Drug Dealers Anonymous,0.86,0.123,152.797,0.438,0.312,0,4,0.57,1,253787,-5.075,0.495,1b6rmL3VXBgYTbn61kM8wT,0
Three Course Meal (feat. Action Bronson & Chance the Rapper),ProbCause,The Recipe Volume 2,0.934,0.327,84.462,0.334,0.0301,0,4,0.502,1,175543,-4.099,0.887,5uLNwXlRTTSYeqs2mfzGgn,1
Respect the Mustache,Action Bronson,Well Done,0.856,0.232,163.524,0.44,0.438,0,4,0.493,11,173718,-7.245,0.758,4sbwYa8F4IdtKdXM7NOHUA,0
Ray Gun (feat. DOOM),Ghostface Killah,SOUR SOUL,0.797,0.127,104.88,0.0528,0.0162,0.294,4,0.573,2,187398,-6.84,0.258,6wG6Is4msfLUJzfS59SqkT,1
Tell Your Friends,The Weeknd,Beauty Behind The Madness,0.459,0.181,74.541,0.0442,0.25,0,4,0.579,1,334333,-11.083,0.304,1mhVXWduD8ReDwusfaHNwU,0
Them Changes,Thundercat,Drunk,0.55,0.0899,81.676,0.0632,0.551,0.000607,4,0.784,8,188385,-8.645,0.715,5dcZUsgcMW57ju0A379O7c,1
Easy Bake (feat. Kendrick Lamar & SZA),Jay Rock,90059,0.586,0.425,174.262,0.827,0.357,0,4,0.566,1,291812,-6.741,0.619,2iXm6lM5KNUHOGP5OQSeyA,1
Movin Backwards,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,0.58,0.0804,88.937,0.314,0.321,2.38e-05,4,0.608,0,281613,-6.504,0.714,4Ek1h5KnIkB6Pi2Bt1lV8m,1
Riot,Childish Gambino,"""Awaken, My Love!""",0.95,0.39,91.324,0.0736,0.000318,2.43e-05,4,0.498,5,125120,-5.903,0.61,2u9kn2AZkrMCb11SuaGGGi,1
Lite Weight,Anderson .Paak,Malibu,0.855,0.476,120.014,0.257,0.0114,0.000199,4,0.655,8,206360,-9.347,0.508,2vJIsdYIthbnWgLaLD9yrj,0
Come Down,Anderson .Paak,Malibu,0.908,0.296,98.381,0.124,0.328,0.00155,4,0.82,10,176693,-6.151,0.919,276zciJ7Fg7Jk6Ta6QuLkp,0
Waves,Kanye West,The Life Of Pablo,0.587,0.332,96.072,0.0519,0.0363,3.71e-06,4,0.386,10,181573,-4.454,0.0565,3nAq2hCr1oWsIU54tS98pL,1
Father Stretch My Hands Pt. 1,Kanye West,The Life Of Pablo,0.566,0.57,113.074,0.056,0.142,1.25e-06,4,0.714,7,135920,-4.408,0.449,4KW1lqgSr8TKrvBII0Brf8,1
Xxplosive,Dr. Dre,2001,0.882,0.15,168.955,0.134,0.201,1.07e-05,4,0.78,1,215200,-4.368,0.926,0Ed7MeXx64f6OcIuoTRCg1,1
The Spiteful Chant,Kendrick Lamar,Section.80,0.783,0.181,127.018,0.0313,0.0506,0,4,0.596,0,320957,-4.356,0.334,12bCgkFnyyTI8B1OmmRhbx,0
Nights,Frank Ocean,Blonde,0.548,0.113,89.815,0.118,0.42,1.01e-06,4,0.466,5,307151,-9.362,0.423,7eqoqGkKwgOaWNNHx90uEZ,0
Losers,The Weeknd,Beauty Behind The Madness,0.492,0.582,90.976,0.0526,0.0365,0.000473,4,0.663,0,281147,-9.811,0.32,1bAvtmTl0F9loyz9AwPwp7,0
Broken Clocks,SZA,Ctrl,0.683,0.156,112.856,0.177,0.13,0,4,0.684,6,231253,-7.366,0.406,2fXwCWkh6YG5zU1IyvQrbs,1
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,0.582,0.153,126.075,0.103,0.29,0,4,0.798,10,213400,-7.38,0.766,6PGoSes0D9eUDeeAafB2As,1
Paper Trail$,Joey Bada$$,B4.DA.$$,0.829,0.537,93.62,0.285,0.339,0,4,0.548,1,194739,-4.103,0.452,5jNrszQHRIVKmS9Ptb63pe,0
