Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Dulce,FloFilz,Cenário,0.425,0.116,92.974,0.087,0.262,0.921,4,0.84,9,131559,-9.404,0.539,7ehckTic6RBtUn1fnSLoqn,0
DEVASTATED,Joey Bada$$,ALL-AMERIKKKAN BADA$$,0.628,0.254,123.004,0.0682,0.0634,0,4,0.812,10,207059,-6.164,0.485,4ntsD33Pgsgk8rUyZLLiUV,0
Laputa,Hiatus Kaiyote,Choose Your Weapon,0.37,0.262,106.046,0.071,0.576,3.54e-06,4,0.709,5,145973,-11.156,0.635,4fcvLmCmut3Qqxz7k31iVx,0
33 “GOD”,Bon Iver,"22, A Million",0.389,0.0937,133.113,0.0403,0.83,0.0265,4,0.52,4,213000,-10.476,0.326,1LfWibYjk0TD8YNPtzym9A,1
Pe vale (A doua parte) - FloFilz Remix,Hubert Daviz,O Alta Perspectiva (Remixes),0.381,0.464,168.063,0.356,0.157,0.705,4,0.632,8,187203,-7.798,0.592,6nCNcXBKppMMw9u3Xxi8jC,1
PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),Rejjie Snow,PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),0.458,0.122,84.188,0.418,0.379,0,4,0.676,1,290333,-6.172,0.723,1pynf76l80VPFR8pEQRLOu,1
The Bird,Anderson .Paak,Malibu,0.645,0.154,148.733,0.421,0.0838,0.000355,4,0.488,11,217773,-7.226,0.595,7pamxApUs3CE8t7tKmUJ6Z,1
Addicted,Iman Omari,High-Loops & Higher-Loops,0.668,0.543,166.108,0.31,0.4,3.78e-06,4,0.479,3,141143,-6.514,0.585,2GxGHdkQCorcHjOHFfIrZa,0
911 / Mr. Lonely,"Tyler, The Creator",Who Dat Boy / 911,0.61,0.313,90.034,0.305,0.0456,0,4,0.48,0,255653,-7.042,0.297,1pGAvZo2axYXAXYiSeYEqY,1
Shoulder Kiss,Freddie Joachim,Study Guide,0.502,0.158,95.084,0.108,0.441,0.0193,4,0.774,10,156107,-5.371,0.736,3ZB4h7rWKKIMC06EzFiuE9,1
Joy,Leven Kali,Joy,0.528,0.24,89.016,0.282,0.783,0,4,0.688,6,176065,-6.854,0.722,2QmJfxcWEMuT1gDqmTdjEv,1
Choco / Mog,Devonwho,Lyon - EP,0.731,0.242,82.017,0.187,0.572,0.458,4,0.69,4,120000,-5.473,0.703,0HfDJCBcwGmtx8MkYiyIWr,0
Shipwrecked (feat. The Mind),Mick Jenkins,The Water[s],0.555,0.361,87.914,0.401,0.117,2.34e-06,3,0.428,11,261308,-10.096,0.156,1AcoChSNNi7V19gtofRNHn,1
Smile,Isaiah Rashad,Smile,0.563,0.392,132.155,0.276,0.537,0,4,0.783,2,203372,-8.132,0.517,3UNoPBNWST9mQleI5T53zL,1
Knowledge,Pigeondust,"Moon, Wisdom & Slackness",0.801,0.0938,176.149,0.0671,0.091,0.91,4,0.604,4,191006,-4.531,0.21,1xXxQJPYY8J3HqxE3QmOws,0
Yesterday,Noname,Telefone,0.539,0.063,173.661,0.394,0.488,0.00022,4,0.464,5,189510,-8.701,0.473,3YelntUJuFb94u4VDS4EPc,1
Like What,Tennyson,Like What - EP,0.425,0.296,87.927,0.0852,0.295,0.901,4,0.614,9,227149,-10.942,0.22,4vodwxyTxj8cyf7phBzrmN,0
Holocene,Bon Iver,Bon Iver,0.304,0.126,147.989,0.0302,0.943,0.303,4,0.375,1,336613,-14.52,0.147,4fbvXwMTXPWaFyaMWUm9CR,1
Skinny Love,Bon Iver,"For Emma, Forever Ago",0.263,0.127,76.379,0.0567,0.844,5.36e-06,4,0.593,4,238520,-14.029,0.109,2cbic3TiUENlJX91y67ARR,0
Anthrtime,NxWorries,Link Up & Suede,0.545,0.13,175.779,0.27,0.121,0.00183,5,0.382,5,66760,-8.579,0.921,6P7VLODunHbtURoP2ADDg3,1
For Whom The Bell Tolls,J. Cole,4 Your Eyez Only,0.407,0.294,111.65,0.0354,0.471,0,3,0.652,10,127880,-11.028,0.169,3MWlVSkoLS1e66nlZ2tuWJ,0
Distant Land,Madlib,Shades Of Blue: Madlib Invades Blue Note,0.671,0.0521,91.412,0.0445,0.00333,0.916,4,0.586,10,238507,-9.787,0.774,5mUNFqUbA1bY9l1qT9tyHT,0
Radiant,Nohidea,Blank Space,0.311,0.359,81.045,0.24,0.457,0.584,4,0.816,9,84444,-9.955,0.652,3QaGAF5gT8ljazXVf6B70I,0
After Thoughts,Oddisee,The Beauty in All,0.513,0.208,172.208,0.0374,0.0285,0.782,4,0.591,7,325096,-11.151,0.263,27szvF97Tu95GxN98N52fy,0
Grown Up,Danny Brown,Grown Up,0.766,0.122,93.603,0.26,0.132,0,4,0.635,11,139931,-6.449,0.686,5ic68M3jaJTEUcEIh5PcqX,1
Everybody Loves The Sunshine,Takuya Kuroda,Rising Son,0.323,0.0928,82.994,0.0607,0.0443,0.293,4,0.834,5,565503,-11.325,0.434,4F17fOFNxTHhNk6fXq46w6,0
